Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Actual Date of Completion (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),MAR26 progress (%),Sector
427,701354,Mumbai Nagpur Jharsuguda Pipeline Project,(Ministry of Petroleum & Natural Gas),"Multi-States (Chhattisgarh, Madhya Pradesh, Maharashtra, Odisha)",06/2020,06/2020,,05/2023,03/2026,7844.25,8255.0,6940.0,98.0,Oil & Gas
428,701330,Mehsana-Bhatinda & Bhatinda-Jammu Natural Gas Pipeline,(Ministry of Petroleum & Natural Gas),"Multi-States (Gujarat, Haryana, Punjab, Rajasthan)",07/2011,07/2011,,06/2024,03/2026,7392.0,7392.0,6349.0,90.0,Oil & Gas
429,612853,Gurdaspur Jammu Pipeline,(Gas Authority of India Limited [GAIL]),"Multi-States (Jammu and Kashmir, Punjab)",07/2023,07/2023,,07/2026,07/2026,521.9,521.9,268.2,44.0,Oil & Gas
430,701228,Kochi - Koottanad - Bangalore - Mangalore Pipeline Phase-II,(Ministry of Petroleum & Natural Gas),"Multi-States (Karnataka, Kerala, Tamil Nadu)",06/2009,06/2009,,12/2012,03/2026,2915.0,5909.0,4614.8,96.0,Oil & Gas
431,701338,City Gas Distribution Maharashtra Natural Gas Limited,(Ministry of Petroleum & Natural Gas),"Multi-States (Karnataka, Maharashtra)",01/2006,01/2006,,06/2031,06/2031,5535.0,5535.0,4136.42,47.0,Oil & Gas
432,701344,Dhamra Haldia Pipeline Project,(Ministry of Petroleum & Natural Gas),"Multi-States (Odisha, West Bengal)",03/2020,03/2020,,11/2022,03/2026,1030.65,1125.0,910.6,93.0,Oil & Gas
433,709794,"City Gas Distribution Projects at Fazilka [except area already authorized], Ganganagar and Hanumangarh districts",(Bharat Petroleum Corporation Limited [BPCL]),"Multi-States (Punjab, Rajasthan)",12/2022,12/2022,,06/2030,06/2030,3207.0,3207.0,383.6,28.0,Oil & Gas
434,709786,"Augmentation/ Revamping of Dimapur Depot, Dimapur",(MinistryofPetroleumNaturalGas),Nagaland,08/2023,08/2023,,11/2027,11/2027,227.62,227.62,18.35,36.0,Oil & Gas
435,604859,Integrated Para Xylene [PX] and Purified Terephthalic Acid [PTA] Project at Paradip Refinery,(Ministry of Petroleum & Natural Gas),Odisha,07/2020,07/2020,,01/2024,08/2026,13805.0,11783.0,8266.79,93.0,Oil & Gas
436,617818,"City Gas Distribution [CGD] Project in Gajapati, Kandhamal, Boudh, & Sonepur GA",(Ministry of Petroleum & Natural Gas),Odisha,02/2022,02/2022,,02/2030,02/2030,514.91,514.91,20.62,5.0,Oil & Gas
437,709800,"CUF POL Depot at Sadashibpur [Meramundali], Odisha",(MinistryofPetroleumNaturalGas),Odisha,04/2021,04/2021,,03/2026,03/2026,393.54,393.54,172.07,72.0,Oil & Gas
438,400119,Life Extension of 48 well platforms of Mumbai High & Heera Fields,(Oil and Natural Gas Corporation Limited [ONGC]),Offshore,12/2015,12/2015,,04/2018,03/2026,3190.69,3375.9,3123.2,90.0,Oil & Gas
439,616950,PRP-VIII [Group-A],(Ministry of Petroleum & Natural Gas),Offshore,09/2024,09/2024,,02/2026,05/2026,1486.4,1486.4,394.85,40.0,Oil & Gas
440,709839,Daman Upside Development Project,(Oil and Natural Gas Corporation Limited [ONGC]),Offshore,06/2022,06/2022,,10/2025,05/2026,4144.41,6406.9,5339.12,95.0,Oil & Gas
441,709848,MHN TCPP PGC BGC Project [MTPBP],(Ministry of Petroleum & Natural Gas),Offshore,06/2022,06/2022,,05/2026,05/2026,2329.45,2354.23,1223.5,78.0,Oil & Gas
442,709849,PRP-VIII Group B [NH & BS Asset],(Ministry of Petroleum & Natural Gas),Offshore,06/2024,06/2024,,02/2026,05/2026,2379.84,3165.53,2140.09,93.0,Oil & Gas
443,709851,Integrated Development of 4 Contract Areas under DSF-II,(Ministry of Petroleum & Natural Gas),Offshore,05/2023,05/2023,,04/2027,04/2027,6183.79,6183.79,964.0,34.0,Oil & Gas
444,400171,2G Ethanol Biorefinery at Bathinda,(Hindustan Petroleum Corporation Limited [HPCL]),Punjab,05/2020,05/2020,,02/2023,03/2026,1421.46,1421.46,1239.51,95.0,Oil & Gas
445,709770,City Gas Distribution Project at Pathankot District,(MinistryofPetroleumNaturalGas),Punjab,03/2022,03/2022,,09/2033,09/2033,151.0,151.0,8.86,2.0,Oil & Gas
446,604795,CBR 9 MMTPA Project,(Chennai Petroleum Corporation Limited [CPCL]),Tamil Nadu,09/2021,09/2021,,06/2025,10/2028,31580.0,36354.0,1527.95,10.0,Oil & Gas
447,709750,Laying of new 28 inch Desal Water Pipeline and 10 inch Reject Water Pipeline between CPCL Manali Refinery and CPCL Desalination plant at Ennore,(Chennai Petroleum Corporation Limited [CPCL]),Tamil Nadu,01/2024,01/2024,,09/2025,12/2026,205.0,205.0,81.61,58.0,Oil & Gas
448,709796,City Gas Distribution Projects at the Nilgiris and Erode districts,(Bharat Petroleum Corporation Limited [BPCL]),Tamil Nadu,12/2022,12/2022,,03/2030,03/2030,3685.0,3685.0,274.28,24.0,Oil & Gas
449,617822,ATF Pipeline from BPCLs Malkapur POL Installation to Hyderabad International airport,(MinistryofPetroleumNaturalGas),Telangana,03/2025,03/2025,,09/2027,-,215.0,215.0,38.16,22.0,Oil & Gas
450,709837,"Creation of Gas Dehydration Facilities, Tripura Asset",(Oil and Natural Gas Corporation Limited [ONGC]),Tripura,03/2022,03/2022,,05/2024,05/2026,209.33,131.51,78.98,67.0,Oil & Gas
451,619191,Kanpur LPG Bottling Plant,(MinistryofPetroleumNaturalGas),Uttar Pradesh,09/2025,09/2025,,09/2027,-,202.0,202.0,6.03,44.0,Oil & Gas
452,709781,Revamping / Augmentation of Facilities at Mathura Bitumen Plant,(MinistryofPetroleumNaturalGas),Uttar Pradesh,04/2022,04/2022,,06/2027,12/2026,260.12,260.12,15.2,45.0,Oil & Gas
453,709795,"City Gas Distribution Projects at Lakhimpur Kheri , Sitapur, Bahraich, Shravasti,Balrampur, Siddharth Nagar & Maharajganj districts",(Bharat Petroleum Corporation Limited [BPCL]),Uttar Pradesh,12/2022,12/2022,,06/2030,06/2030,16654.0,16654.0,670.55,15.0,Oil & Gas
454,617302,Durgapur - Haldia Pipeline [Section-3B of JHBDPL Project],(Ministry of Petroleum & Natural Gas),West Bengal,03/2017,03/2017,,12/2020,03/2026,1740.0,2493.15,2351.6,94.0,Oil & Gas
455,617828,Siliguri-Jhapa Pipeline Project,(Indian Oil Corporation Limited [IOCL]),West Bengal,09/2024,09/2024,,03/2029,03/2029,267.0,267.0,1.77,9.0,Oil & Gas
456,617837,Siliguri Marketing Terminal [SMT] Capacity Augmentation Project,(Ministry of Petroleum & Natural Gas),West Bengal,11/2021,11/2021,,12/2025,09/2026,484.0,484.0,302.22,85.0,Oil & Gas
457,709753,Haldia Panagarh Pipeline Project,(Hindustan Petroleum Corporation Limited),West Bengal,11/2022,11/2022,,11/2025,05/2026,1010.0,1107.0,782.89,93.0,Oil & Gas
458,709758,"CGD Project in Malda, Birbhum, Murshidabad, Dakshin Dinajpur GA ID 11A.03",(Hindustan Petroleum Corporation Limited),West Bengal,06/2022,06/2022,,06/2030,06/2030,2628.0,2628.0,378.82,34.0,Oil & Gas
459,709772,"City Gas Distribution Project at East Mednipore, West Mednipore & Jhargram Districts",(MinistryofPetroleumNaturalGas),West Bengal,03/2022,03/2022,,06/2031,06/2031,609.0,609.0,61.68,2.0,Oil & Gas
460,709791,City Gas Distribution Projects at Alipurduar and Cooch Behar,(Bharat Petroleum Corporation Limited [BPCL]),West Bengal,12/2022,12/2022,,03/2030,03/2030,1017.0,1017.0,219.93,42.0,Oil & Gas
461,701172,AIIMS Darbhanga,(PMSSY AND Institute of NATIONAL Importance),Bihar,,09/2020,,09/2024,-,1264.0,1264.0,0.0,0.0,Healthcare
462,707020,Establishment of new GMC Jamui,"(Medical Education, Ministry of Health and Family Welfare)",Bihar,03/2019,10/2022,,10/2025,-,250.0,500.0,96.21,32.0,Healthcare
463,707044,Establishment of new GMC Korba,"(Medical Education, Ministry of Health and Family Welfare)",Chhattisgarh,02/2023,10/2023,,12/2026,-,325.0,322.85,164.49,52.0,Healthcare
464,707045,Establishment of new GMC Mahasamund,"(Medical Education, Ministry of Health and Family Welfare)",Chhattisgarh,10/2023,10/2023,,05/2026,-,325.0,325.0,308.5,75.0,Healthcare
465,707046,Establishment of new GMC Kanker,"(Medical Education, Ministry of Health and Family Welfare)",Chhattisgarh,02/2020,09/2024,,03/2027,-,325.0,325.0,22.0,50.0,Healthcare
466,617882,"Setting up IT Infrastructure including Network Security and Hosting at AIIMS, New Delhi",(PMSSY AND Institute of NATIONAL Importance),Delhi,09/2025,09/2025,,09/2026,-,358.19,358.19,0.0,0.0,Healthcare
467,617883,"Redevelopment of Residential colonies at Ayur Vigyan Nagar and West Ansari Nagar campuses of AIIMS, New Delhi",(PMSSY AND Institute of NATIONAL Importance),Delhi,10/2016,06/2022,,06/2027,-,4441.0,4441.0,24.68,61.0,Healthcare
468,701170,AIIMS Rajkot,(PMSSY AND Institute of NATIONAL Importance),Gujarat,01/2019,01/2019,,03/2026,03/2026,1195.0,1195.0,775.6,93.0,Healthcare
469,707049,Establishment of new GMC Panchmahal,"(Medical Education, Ministry of Health and Family Welfare)",Gujarat,09/2022,09/2022,,03/2026,-,325.0,663.5,435.34,36.0,Healthcare
470,707050,Establishment of new GMC Porbandar,"(Medical Education, Ministry of Health and Family Welfare)",Gujarat,04/2022,10/2022,,09/2024,-,325.0,618.98,924.64,66.0,Healthcare
471,701173,AIIMS Majra Rewari Haryana,(PMSSY AND Institute of NATIONAL Importance),Haryana,02/2019,02/2019,,12/2026,12/2026,1299.0,1646.43,574.64,55.0,Healthcare
472,701167,AIIMS Kashmir at Awantipora Jammu & Kashmir,(PMSSY AND Institute of NATIONAL Importance),Jammu and Kashmir,01/2019,03/2019,,12/2025,12/2026,1828.0,2160.84,1517.17,74.0,Healthcare
473,707021,Establishment of new GMC Koderma,"(Medical Education, Ministry of Health and Family Welfare)",Jharkhand,09/2023,02/2024,,08/2026,-,250.0,504.8,265.0,30.0,Healthcare
474,707022,Establishment of new GMC Chaibasa [Singhbhum],"(Medical Education, Ministry of Health and Family Welfare)",Jharkhand,06/2018,03/2023,,09/2025,-,250.0,454.1,60.0,46.0,Healthcare
475,707058,Establishment of new GMC Rajgarh,"(Medical Education, Ministry of Health and Family Welfare)",Madhya Pradesh,12/2021,11/2022,,04/2024,-,325.0,325.0,164.0,67.0,Healthcare
476,707059,Establishment of new GMC Mandla,"(Medical Education, Ministry of Health and Family Welfare)",Madhya Pradesh,08/2023,10/2023,,04/2026,-,325.0,325.0,69.41,40.0,Healthcare
477,707069,Establishment of new GMC Kapurthala,"(Medical Education, Ministry of Health and Family Welfare)",Punjab,11/2019,07/2027,,12/2028,-,325.0,550.0,0.0,0.0,Healthcare
478,707070,Establishment of new GMC Hoshiarpur,"(Medical Education, Ministry of Health and Family Welfare)",Punjab,01/2020,03/2026,,12/2028,-,325.0,374.75,0.0,0.0,Healthcare
479,707039,Establishment of new GMC Gangtok,"(Medical Education, Ministry of Health and Family Welfare)",Sikkim,10/2018,12/2018,,12/2026,-,250.0,635.21,655.21,92.0,Healthcare
480,701168,ALL India Institute of Medical Sciences-AIIMS Madurai,(PMSSY AND Institute of NATIONAL Importance),Tamil Nadu,12/2018,12/2018,,08/2022,10/2026,1264.0,2021.51,441.29,48.0,Healthcare
481,701171,AIIMS Bibinagar,(PMSSY AND Institute of NATIONAL Importance),Telangana,12/2018,07/2022,,06/2026,06/2026,1028.0,1365.95,950.92,86.0,Healthcare
482,707086,Establishment of new GMC Rudrapur,"(Medical Education, Ministry of Health and Family Welfare)",Uttarakhand,10/2022,02/2024,,12/2026,-,325.0,325.0,262.0,35.0,Healthcare
483,707087,Establishment of new GMC Pithoragarh,"(Medical Education, Ministry of Health and Family Welfare)",Uttarakhand,08/2021,04/2023,,12/2026,-,325.0,768.89,315.08,72.0,Healthcare
484,612167,"Construction of 350 beds + 50 Super Specialty beds ESIC Hospital Sheelanagar, Visakhapatnam, Andhra Pradesh",(Employee's State Insurance Company [ESIC]),Andhra Pradesh,02/2021,04/2023,,10/2025,03/2026,384.27,384.27,253.37,80.0,Healthcare
485,612201,"Construction of 200 bedded ESIC Hospital with 62 Nos Staff quarters , Beltola",(Employee's State Insurance Company [ESIC]),Assam,12/2017,10/2021,,04/2025,04/2026,143.23,154.75,116.08,98.0,Healthcare
486,612185,C/o Construction of 200 bedded [Up-gradable to 300 bedded] ESI Hospital at Surat Gujarat.,(Employee's State Insurance Company [ESIC]),Gujarat,06/2019,03/2021,,06/2025,01/2026,209.36,209.36,202.62,100.0,Healthcare
487,612186,350 Bedded [Upgradable to 500 beds] ESI Hospital at Sanand,(Employee's State Insurance Company [ESIC]),Gujarat,06/2022,04/2023,,03/2026,05/2027,558.12,558.12,63.62,11.0,Healthcare
488,612211,"Demolition, Construction and upgradation of ESI Hospital, Kalol, Gujarat from 50 beds to 150 beds.",(Employee's State Insurance Company [ESIC]),Gujarat,08/2022,10/2023,,10/2025,06/2026,205.87,205.87,24.06,22.0,Healthcare
489,612745,"Construction of 200 bed ESI Hospital at Bommasandra, Karnataka",(Employee's State Insurance Company [ESIC]),Karnataka,02/2015,10/2024,,01/2027,05/2027,278.0,278.0,68.23,23.0,Healthcare
490,612748,"Construction of 100 bed ESI Hospital and Staff Quarters [32 Nos.] at Harohalli, Karnataka",(Employee's State Insurance Company [ESIC]),Karnataka,07/2019,03/2025,,02/2027,-,150.92,150.92,6.76,10.0,Healthcare
491,612188,"Construction of 200 Bedded [Upgradable to 500 Bedded including 50 beds of SST] ESIC Hospital at Bibewadi, Pune",(Employee's State Insurance Company [ESIC]),Maharashtra,05/2018,03/2023,,09/2025,08/2026,429.25,429.25,323.98,74.0,Healthcare
492,612213,"Construction of 200 Bedded ESIC Hospital at Butibori, Nagpur, Maharashtra.",(Employee's State Insurance Company [ESIC]),Maharashtra,10/2013,08/2022,,08/2025,09/2026,194.93,196.7,114.39,65.0,Healthcare
493,616691,"Upgradation & Extension of ESIC Hospital and Construction of PG Hostel / Staff Housing for ESIC Hospital at Andheri, Mumbai",(Employee's State Insurance Company [ESIC]),Maharashtra,12/2008,06/2009,,08/2025,09/2026,260.13,260.13,210.12,89.0,Healthcare
494,612513,"Construction of 100 Bedded ESI Hospital at Duburi, Odisha.",(Employee's State Insurance Company [ESIC]),Odisha,12/2010,02/2025,,06/2027,-,164.6,164.6,16.4,7.0,Healthcare
495,612178,"Construction of 100 Bedded ESIC Hospital building and 32 Nos Residential Quarters at Vallam Vadangal, SIPCOT, Sriperumbudur",(Employee's State Insurance Company [ESIC]),Tamil Nadu,02/2015,03/2023,,06/2025,03/2026,152.95,177.01,123.22,99.0,Healthcare
496,612259,CONSTRUCTION OF 300 BEDDED HOSPITAL AT HARIDWAR,(Employee's State Insurance Company [ESIC]),Uttarakhand,02/2021,12/2021,,10/2024,03/2026,102.4,297.63,322.55,81.0,Healthcare
497,708662,Establishment of 600 bed super specialty hospital with optional development of Medical college and further expansion on PPP basis.,(Mumbai Port Trust [MPT]),Maharashtra,08/2019,01/2022,,06/2026,12/2027,693.0,693.0,58.0,11.0,Healthcare
498,701565,Jal Marg Vikas Project,(Inland Waterways Authority of India [IWAI]),"Multi-States (Bihar, Jharkhand, Uttar Pradesh, West Bengal)",01/2018,02/2018,,12/2023,12/2025,5369.18,5061.15,3806.78,77.0,Inland Waterways
499,611142,Fairway Development in West Bengal Farakka - Kahelgaon,(Inland Waterways Authority of India [IWAI]),Offshore,01/2018,08/2018,,07/2023,04/2024,177.0,197.0,383.41,100.0,Inland Waterways
500,609424,"Development of Container Terminal at Tuna-Tekra, Deendayal Port on BOT Basis Under PPP Mode",(Deendayal Port Trust),Gujarat,10/2022,03/2024,,03/2027,-,4243.64,4243.64,1145.0,40.0,Shipping
501,701568,Construction of oil jetty No.8 at old kandla through internal resources,(Deendayal Port Trust [DPT]),Gujarat,02/2018,02/2021,,02/2023,07/2024,100.0,225.85,186.47,90.0,Shipping
502,701570,"Replacement and revamping of pipeline projects in oil jetty area, Kandla",(Deendayal Port Trust [DPT]),Gujarat,09/2021,09/2021,,09/2023,03/2025,171.0,211.61,137.51,71.0,Shipping
503,617804,Mechanization of Berth No.14 for handling Containers and other cargo on DBFOT basis - Phase II,(New Mangalore Port Authority),Karnataka,12/2023,06/2024,,03/2027,-,153.23,153.23,38.31,40.0,Shipping
504,400382,Rewas Port Project,(Reliance Industries Ltd),Maharashtra,12/2019,01/2020,,03/2023,-,6000.0,6000.0,5999.89,88.0,Shipping
505,701586,Setting up of a Floating Storage and Regasification Unit [FSRU] - Mumbai,(Mumbai Port Trust [MPT]),Maharashtra,11/2020,04/2021,,11/2026,11/2026,900.0,900.0,65.0,0.0,Shipping
506,701574,Deepening and Optimization of Inner Harbour facilities including development of Western Dock on BOT basis to handle Cape size vessels,(Paradip Port Trust [PPT]),Odisha,05/2022,01/2023,,12/2027,10/2028,3004.63,3004.63,1277.52,50.0,Shipping
507,701576,Berth No. 2 [previously Berth 3] of HDC Mechanization Project,"(Haldia Dock Complex, Syama Prasad Mookerjee Port Authority)",West Bengal,11/2022,03/2023,,09/2025,01/2026,298.26,298.26,480.0,100.0,Shipping
508,701577,Shalukkhali Liquid Cargo Handling Facility Development Project,"(Haldia Dock Complex, Syama Prasad Mookerjee Port Authority)",West Bengal,01/2022,08/2022,,08/2025,-,253.65,253.65,9.28,0.0,Shipping
509,707215,National Maritime Heritage Complex [NMHC] Phase-I,(Indian Port Rail & Ropeway Corporation Ltd. [IPRCL]),Gujarat,02/2019,01/2022,,03/2024,03/2026,573.0,1238.05,545.51,73.0,"Tourism, Hospitality & Wellness"
510,707410,Integrated Multi Modal Logistics Hub at Nangal Chaudhary in Haryana - Other Trunk Infrastructure Development Phase 1,(National Highways & Infrastructure Development Corporation Ltd. [NHIDCL]),Haryana,05/2018,12/2021,,12/2023,05/2028,763.0,763.0,430.0,60.0,Logistics Infrastructure
511,701658,Krishnapatnam Node - Phase 1 - Roads and Services Development,(National Industrial Corridor Development Corporation),Andhra Pradesh,12/2020,02/2024,,02/2028,-,2139.44,2139.44,687.82,33.0,Real Estate
512,701657,Tumakuru Node - Phase 1 - Roads and Services Development,(National Highways & Infrastructure Development Corporation Ltd. [NHIDCL]),Karnataka,12/2020,02/2023,,09/2026,-,1701.81,1701.81,207.54,19.0,Real Estate
513,615202,Capacity expansion of Deposit-14 and 14 NMZ at Kirandul,(National Mineral Development Corporation Limited [NMDC]),Chhattisgarh,08/2021,07/2022,,12/2028,03/2028,1700.0,1756.2,183.71,12.0,Metals & Mining
514,617243,Replacement of Hot Leveller No.1 of Plate Mill at Bhilai Steel Plant,(Steel Authority of India Limited [SAIL]),Chhattisgarh,07/2024,08/2024,,07/2026,-,198.62,198.62,61.87,44.0,Steel
515,617255,"Replacement of Converter Vessels, Trunnion Rings, Support System & Installation of Secondary Emission at Bhilai Steel Plant",(Steel Authority of India Limited [SAIL]),Chhattisgarh,10/2023,12/2023,,06/2026,-,471.83,471.83,210.76,58.0,Steel
516,617256,Rebuilding of Coke Oven Battery No.7 & 8 at Bhilai Steel Plant,(Steel Authority of India Limited [SAIL]),Chhattisgarh,11/2023,01/2024,,10/2025,03/2026,884.1,884.1,572.54,86.0,Steel
517,706811,NMDC Slurry Pipeline Project Phase-1,(National Mineral Development Corporation Limited [NMDC]),Chhattisgarh,11/2015,09/2020,,06/2023,03/2026,2907.0,5427.0,3416.06,93.0,Steel
518,709826,SCREENING PLANT-III AT KIRANDUL,(National Mineral Development Corporation Limited [NMDC]),Chhattisgarh,01/2009,10/2021,,01/2026,07/2027,2718.84,2718.84,1455.37,81.0,Steel
519,709827,CONSTRUCTION OF RESIDENTIAL TOWERS AT BIOM KIRANDUL COMPLEX,(National Mineral Development Corporation Limited [NMDC]),Chhattisgarh,07/2021,10/2022,,12/2025,02/2026,349.75,349.75,326.85,100.0,Steel
520,400174,"New Sinter Plant at BSL, SAIL",(Steel Authority of India Limited [SAIL]),Jharkhand,03/2015,10/2015,,10/2017,06/2027,1034.01,1752.3,980.21,53.0,Steel
521,617249,Replacement of existing Grinders in CRM-I & II at Bokaro Steel Plant,(Steel Authority of India Limited [SAIL]),Jharkhand,01/2025,02/2025,,01/2027,-,211.94,211.94,27.32,30.0,Steel
522,617250,Secondary Emission Control in Converters of SMS-II at Bokaro Steel Plant,(Steel Authority of India Limited [SAIL]),Jharkhand,01/2025,02/2025,,10/2026,-,207.13,207.13,35.69,17.0,Steel
523,617253,Revamping of old sub-systems of Blast Furnace 3 at Bokaro Steel Plant,(Steel Authority of India Limited [SAIL]),Jharkhand,08/2023,10/2023,,07/2025,05/2026,513.82,513.82,364.76,84.0,Steel
524,617254,Replacement of remaining 04 sets of Battery Cyclones with 04 Nos. of ESPs in Sinter Plant-1 at Bokaro Steel Plant,(Steel Authority of India Limited [SAIL]),Jharkhand,03/2024,04/2024,,06/2026,04/2027,260.37,260.37,79.25,32.0,Steel
